t_idx,aggregated_capacity_mwh,aggregated_discharging_mw
0,82.7792343507758,47.02993497883116
1,82.08868455294775,46.63532106444868
2,81.67938765072286,46.406183833596515
3,81.6884665294755,46.41103199255148
4,81.83701604128527,46.5014618730773
5,81.79266911621842,46.47996070028106
6,81.8552914377727,46.50028307208895
7,84.70086222260217,48.12270699501598
8,92.10632472954889,52.43580345647094
9,99.41071311952123,56.665899650687706
10,105.46059772020966,60.146051432506525
11,110.63629560926488,63.07613739133252
12,112.03171318525747,63.842780170897306
13,110.96874945965553,63.217600200774385
14,109.08665845090678,62.14351636517992
15,106.94284373219585,60.921833978171854
16,98.8226444199217,56.184559925645395
17,93.30322281657594,53.0128478418133
18,86.19095202532239,48.97690286300853
19,75.56844934160699,42.96815996411792
20,77.35314678842168,43.9519476918267
21,78.14806920750152,44.40183086613604
22,77.67128200545416,44.138970247838564
23,79.49447486607062,45.18612920771989
