building_index,grid_id,grid_col,grid_row,x_m,y_m,A_z,zone_type
0,9_48,9,48,762994.5685291155,2455680.4891004623,62500.0,normal_urban
1,11_48,11,48,763660.6800195792,2455664.4099679776,62500.0,open_area
2,6_50,6,50,762407.3937316452,2456268.9586272547,62500.0,dense_urban
3,6_52,6,52,762249.5881399869,2456642.1513736784,62500.0,dense_urban
4,8_53,8,53,762825.356085449,2456981.249355186,62500.0,dense_urban
5,12_38,12,38,763746.6131353419,2453201.5916745225,62500.0,dense_urban
6,12_38,12,38,763910.4837895174,2453202.3304529525,62500.0,dense_urban
7,12_38,12,38,763886.3184208297,2453144.53069172,62500.0,dense_urban
8,3_50,3,50,761637.4477281913,2456242.61492569,62500.0,dense_urban
9,7_49,7,49,762591.2127841482,2455840.3692320664,62500.0,normal_urban
10,7_25,7,25,762539.5204812202,2450031.598426112,62500.0,normal_urban
11,7_58,7,58,762671.6947560664,2458266.197736623,62500.0,normal_urban
12,6_58,6,58,762198.2563247154,2458251.253124449,62500.0,dense_urban
13,7_55,7,55,762617.4442095014,2457424.715514167,62500.0,dense_urban
14,8_54,8,54,762805.0937812179,2457063.8264291678,62500.0,dense_urban
15,7_56,7,56,762475.5014503035,2457635.416523008,62500.0,dense_urban
16,7_22,7,22,762575.1643808866,2449258.6390737873,62500.0,open_area
17,6_23,6,23,762316.2837574445,2449330.4144512382,62500.0,open_area
18,5_52,5,52,762022.7045848004,2456751.0646781656,62500.0,dense_urban
19,19_55,19,55,765458.1972074414,2457425.615167508,62500.0,open_area
20,18_55,18,55,765268.9319197376,2457407.9046251955,62500.0,open_area
21,20_55,20,55,765806.2234718107,2457417.2296981984,62500.0,open_area
22,10_58,10,58,763279.1161408483,2458287.086823487,62500.0,dense_urban
23,8_51,8,51,762925.8349276491,2456484.174608677,62500.0,dense_urban
24,9_51,9,51,762940.096771749,2456450.1566103036,62500.0,dense_urban
25,20_38,20,38,765732.9770250915,2453158.936241118,62500.0,normal_urban
26,13_56,13,56,763936.30930667,2457750.8373145927,62500.0,open_area
27,12_56,12,56,763890.2805442475,2457739.9899269165,62500.0,dense_urban
28,12_56,12,56,763894.7124081536,2457797.8265987528,62500.0,dense_urban
29,3_53,3,53,761535.9191755685,2456972.7687432314,62500.0,dense_urban
30,3_45,3,45,761676.5306671789,2454942.9689627057,62500.0,normal_urban
31,11_53,11,53,763502.2519136048,2456841.8667830764,62500.0,normal_urban
32,11_51,11,51,763526.9791012241,2456524.796757256,62500.0,normal_urban
33,7_54,7,54,762680.223091606,2457172.051991082,62500.0,dense_urban
34,6_36,6,36,762193.0571804899,2452763.992190813,62500.0,dense_urban
35,10_49,10,49,763406.5148133254,2455932.5422096094,62500.0,normal_urban
36,6_53,6,53,762262.3948385349,2457032.4669748424,62500.0,dense_urban
37,8_58,8,58,762728.3294560121,2458215.302055336,62500.0,dense_urban
38,5_55,5,55,762112.0913884373,2457350.1058048643,62500.0,dense_urban
39,9_51,9,51,763066.966309285,2456514.0318347663,62500.0,dense_urban
40,4_53,4,53,761755.8246888893,2456992.267010761,62500.0,dense_urban
41,5_52,5,52,761938.3747464141,2456617.040338422,62500.0,dense_urban
42,3_58,3,58,761456.7680395991,2458170.505334661,62500.0,dense_urban
43,10_35,10,35,763330.4884406041,2452334.2940712636,62500.0,dense_urban
44,6_49,6,49,762351.4679823705,2456042.358658862,62500.0,dense_urban
45,10_58,10,58,763282.5813161985,2458090.0264813034,62500.0,dense_urban
46,11_57,11,57,763598.7030910313,2458009.2994837486,62500.0,dense_urban
47,18_39,18,39,765310.0761628831,2453454.0422271746,62500.0,open_area
48,12_58,12,58,763697.4958069855,2458156.5260355785,62500.0,dense_urban
49,3_49,3,49,761637.7153767275,2456007.100457235,62500.0,dense_urban
50,7_29,7,29,762488.5830332154,2450858.5800781664,9277.120989272536,dense_urban
51,7_28,7,28,762502.2171099645,2450665.40831823,22080.86735447148,normal_urban
52,7_27,7,27,762511.2816800596,2450514.120977261,11950.331023470366,normal_urban
53,8_27,8,27,762709.6206552496,2450313.753238639,109.51547550743855,dense_urban
54,7_28,7,28,762489.3042479893,2450677.963113105,22080.86735447148,normal_urban
55,19_37,19,37,765531.7438826952,2452898.404965063,62500.0,dense_urban
56,5_53,5,53,762114.7820935043,2456832.636193577,62500.0,dense_urban
57,3_45,3,45,761580.3499584864,2454916.9746397813,62500.0,normal_urban
58,17_28,17,28,765131.8989132743,2450608.1061199983,62500.0,open_area
59,19_37,19,37,765514.0397621272,2452952.2910553464,62500.0,dense_urban
60,19_35,19,35,765503.2111182971,2452522.486121932,62500.0,open_area
61,8_61,8,61,762801.157128794,2458995.519231203,57145.16215435959,dense_urban
62,6_60,6,60,762314.9947113538,2458746.8378377855,62500.0,dense_urban
63,2_59,2,59,761260.7306828933,2458436.8850855404,61870.76660519791,dense_urban
64,5_59,5,59,762100.5064101338,2458341.395510745,62500.0,dense_urban
65,10_33,10,33,763191.3712400321,2452005.9612583956,62500.0,normal_urban
66,10_33,10,33,763309.2408326671,2451961.551262116,62500.0,normal_urban
67,10_50,10,50,763421.9754994035,2456263.663205411,62500.0,dense_urban
68,2_58,2,58,761338.1992728313,2458229.4402006674,47674.35620709332,normal_urban
69,7_52,7,52,762591.3171536743,2456798.790816752,62500.0,dense_urban
70,7_53,7,53,762572.5306277509,2457005.494057967,62500.0,dense_urban
71,10_19,10,19,763292.3100013857,2448514.020271297,62500.0,dense_urban
72,10_18,10,18,763227.3008927549,2448195.049223017,62500.0,dense_urban
73,8_61,8,61,762792.5199754098,2458940.2950564786,57145.16215435959,dense_urban
74,10_53,10,53,763253.9671859741,2456852.520584716,62500.0,dense_urban
75,15_32,15,32,764680.7869313704,2451573.25097619,62500.0,open_area
76,12_30,12,30,763904.3357744272,2451262.3746393668,62500.0,open_area
77,12_29,12,29,763925.0389901677,2451043.5429297034,62500.0,open_area
78,12_31,12,31,763932.5080376054,2451393.218794568,62500.0,open_area
79,10_32,10,32,763204.9675351584,2451688.0166757153,62500.0,open_area
80,19_36,19,36,765467.1693775031,2452670.093114225,62500.0,open_area
81,10_30,10,30,763206.1646377976,2451280.826040873,62500.0,normal_urban
82,21_26,21,26,766112.0788128227,2450275.9010099727,62500.0,dense_urban
83,11_38,11,38,763605.2832118422,2453063.8558594338,62500.0,dense_urban
84,9_32,9,32,763048.9938275908,2451606.6774598043,62500.0,normal_urban
85,10_37,10,37,763351.5506003222,2452988.3987924755,62500.0,normal_urban
86,13_31,13,31,764139.9147480344,2451454.391068176,62500.0,open_area
87,15_38,15,38,764569.6370967281,2453177.5636493145,62500.0,normal_urban
88,9_33,9,33,763080.9738309558,2452008.6181717804,62500.0,normal_urban
89,18_29,18,29,765263.9693887564,2450901.6246319306,62500.0,open_area
90,7_35,7,35,762626.4274460148,2452372.274736241,62500.0,normal_urban
91,17_33,17,33,764937.5842817737,2451978.4412103277,62500.0,normal_urban
92,10_36,10,36,763190.4527874701,2452565.198595856,62500.0,normal_urban
93,7_33,7,33,762577.4262775407,2451943.316761125,62500.0,open_area
94,9_35,9,35,763177.3416380039,2452520.108631331,62500.0,dense_urban
95,9_35,9,35,763149.9702358902,2452545.0121643124,62500.0,dense_urban
96,17_38,17,38,764970.5124342759,2453160.1622838136,62500.0,normal_urban
97,16_34,16,34,764787.8122540646,2452071.8096961943,62500.0,open_area
98,18_36,18,36,765402.8246962673,2452675.236682289,62500.0,normal_urban
99,10_30,10,30,763187.2106947454,2451147.9764309577,62500.0,normal_urban
100,16_33,16,33,764692.9745291179,2451952.220814823,62500.0,normal_urban
101,21_27,21,27,765938.3199639261,2450367.391855767,62500.0,dense_urban
102,18_37,18,37,765290.0273531749,2452863.6920570387,62500.0,dense_urban
103,11_35,11,35,763584.8784616252,2452367.8996472196,62500.0,normal_urban
104,17_37,17,37,765115.9097770558,2452887.672116933,62500.0,normal_urban
105,18_38,18,38,765288.0207560895,2453078.2449825597,62500.0,open_area
106,17_34,17,34,765156.1743294023,2452150.483340917,62500.0,normal_urban
107,17_34,17,34,765174.9931202602,2452291.88820619,62500.0,normal_urban
108,9_35,9,35,763077.4842034033,2452381.6830744003,62500.0,dense_urban
109,15_38,15,38,764655.9806177117,2453236.7215753207,62500.0,normal_urban
110,17_38,17,38,765032.2286976114,2453110.7583947475,62500.0,normal_urban
111,16_33,16,33,764745.5130125851,2451871.113382439,62500.0,normal_urban
112,17_29,17,29,765158.231434452,2450881.0509689837,62500.0,normal_urban
113,17_34,17,34,765100.168036061,2452253.900051267,62500.0,normal_urban
114,9_33,9,33,763048.7017110237,2451974.4443118153,62500.0,normal_urban
115,9_35,9,35,763114.4162145809,2452324.299613239,62500.0,dense_urban
116,18_33,18,33,765214.7158851952,2452040.4476166754,62500.0,open_area
117,17_29,17,29,765101.9441291759,2451018.6287090383,62500.0,normal_urban
118,8_35,8,35,762789.285180001,2452379.0536848037,62500.0,dense_urban
119,18_39,18,39,765281.3319233314,2453326.45020503,62500.0,open_area
120,17_29,17,29,765062.6443872835,2450871.3987793564,62500.0,normal_urban
121,15_38,15,38,764512.7052118387,2453273.6573142135,62500.0,normal_urban
122,18_36,18,36,765388.4905094203,2452764.699164927,62500.0,normal_urban
123,17_33,17,33,765041.1913806942,2451969.8967516934,62500.0,normal_urban
124,8_35,8,35,762899.0175139698,2452379.003672687,62500.0,dense_urban
125,18_29,18,29,765220.7157821996,2451031.950336337,62500.0,open_area
126,14_34,14,34,764283.1383461575,2452182.91951418,62500.0,open_area
127,18_37,18,37,765364.7316029756,2452993.3670015014,62500.0,dense_urban
128,17_29,17,29,764996.6386620182,2450899.3222336653,62500.0,normal_urban
129,7_35,7,35,762573.1202889895,2452374.06368052,62500.0,normal_urban
130,20_26,20,26,765916.3175925196,2450274.0652714856,62500.0,dense_urban
131,17_38,17,38,765170.1982193245,2453090.1571856397,62500.0,normal_urban
132,19_37,19,37,765657.4692281209,2452980.087622215,62500.0,dense_urban
133,12_31,12,31,763923.7320375947,2451491.5909205102,62500.0,open_area
134,18_37,18,37,765242.252288425,2453009.7768646143,62500.0,dense_urban
135,16_38,16,38,764901.134125696,2453102.615608765,62500.0,normal_urban
136,21_26,21,26,766014.9242990842,2450298.889837843,62500.0,dense_urban
137,8_33,8,33,762803.8181213185,2451920.758016509,62500.0,open_area
138,21_27,21,27,766038.5054534465,2450349.058762112,62500.0,dense_urban
139,8_33,8,33,762737.1683154111,2451919.163662135,62500.0,open_area
140,7_33,7,33,762669.890881794,2451917.613503888,62500.0,open_area
141,16_33,16,33,764786.8534999437,2451801.4271489526,62500.0,normal_urban
142,9_33,9,33,763005.4116103387,2451953.6490288656,62500.0,normal_urban
143,9_34,9,34,763115.7214449834,2452067.6526689455,62500.0,open_area
144,21_26,21,26,766007.271339224,2450262.9877413064,62500.0,dense_urban
