grid_id,grid_col,grid_row,A_z,building_count,mean_height_m,building_density_per_km2,zone_type
0_43,0,43,4574.7253028846735,0,,0.0,open_area
0_44,0,44,32520.770284785278,0,,0.0,open_area
0_45,0,45,48119.74308884237,0,,0.0,open_area
0_46,0,46,60401.05587036866,3,32.21404459836094,49.66800591099815,open_area
0_47,0,47,56106.79931073337,6,26.53474842411855,106.9389106794439,normal_urban
0_48,0,48,32787.811681934414,3,16.394939856603372,91.49741462169476,normal_urban
0_49,0,49,23739.966498148337,0,,0.0,open_area
0_50,0,50,817.7219570750117,0,,0.0,open_area
10_13,10,13,25810.36856630817,0,,0.0,open_area
10_14,10,14,62500.0,0,,0.0,open_area
10_15,10,15,62500.0,5,9.724995654400427,80.0,normal_urban
10_16,10,16,62500.0,4,13.927009546903863,64.0,open_area
10_17,10,17,62500.0,154,11.830199702630185,2464.0,dense_urban
10_18,10,18,62500.0,75,12.60231840371972,1200.0,dense_urban
10_19,10,19,62500.0,17,23.289855812092764,272.0,dense_urban
10_20,10,20,62500.0,1,8.0,16.0,open_area
10_21,10,21,62500.0,11,11.604865327541775,176.0,normal_urban
10_22,10,22,62500.0,4,11.661598354904033,64.0,open_area
10_23,10,23,62500.0,12,10.436364761701958,192.0,normal_urban
10_24,10,24,62500.0,6,17.052618592442474,96.0,normal_urban
10_25,10,25,62500.0,2,8.77048352346415,32.0,open_area
10_26,10,26,62500.0,3,9.072526136624823,48.0,open_area
10_27,10,27,62500.0,5,9.120184531132324,80.0,normal_urban
10_28,10,28,62500.0,0,,0.0,open_area
10_29,10,29,62500.0,4,28.80633699633001,64.0,open_area
10_30,10,30,62500.0,5,45.575226213269836,80.0,normal_urban
10_31,10,31,62500.0,4,20.974999999999998,64.0,open_area
10_32,10,32,62500.0,3,30.47348439635286,48.0,open_area
10_33,10,33,62500.0,9,17.07933128584038,144.0,normal_urban
10_34,10,34,62500.0,8,12.258620489044695,128.0,normal_urban
10_35,10,35,62500.0,16,48.88694745366355,256.0,dense_urban
10_36,10,36,62500.0,10,107.80123535769022,160.0,normal_urban
10_37,10,37,62500.0,6,66.53242584005214,96.0,normal_urban
10_38,10,38,62500.0,0,,0.0,open_area
10_39,10,39,62500.0,0,,0.0,open_area
10_40,10,40,62500.0,0,,0.0,open_area
10_41,10,41,62500.0,0,,0.0,open_area
10_42,10,42,62500.0,0,,0.0,open_area
10_43,10,43,62500.0,0,,0.0,open_area
10_44,10,44,62500.0,0,,0.0,open_area
10_45,10,45,62500.0,0,,0.0,open_area
10_46,10,46,62500.0,0,,0.0,open_area
10_47,10,47,62500.0,0,,0.0,open_area
10_48,10,48,62500.0,5,30.33825005303679,80.0,normal_urban
10_49,10,49,62500.0,10,52.975086069251574,160.0,normal_urban
10_50,10,50,62500.0,14,36.25714285714285,224.0,dense_urban
10_51,10,51,62500.0,16,46.638036873508256,256.0,dense_urban
10_52,10,52,62500.0,23,47.37624500701799,368.0,dense_urban
10_53,10,53,62500.0,14,27.941773249022155,224.0,dense_urban
10_54,10,54,62500.0,8,50.34112690511739,128.0,normal_urban
10_55,10,55,62500.0,11,33.55482154952277,176.0,normal_urban
10_56,10,56,62500.0,26,53.92038250278669,416.0,dense_urban
10_57,10,57,62500.0,34,51.788897129800155,544.0,dense_urban
10_58,10,58,62500.0,33,49.10672508550681,528.0,dense_urban
10_59,10,59,62500.0,24,46.41158025967835,384.0,dense_urban
10_60,10,60,62500.0,19,63.06189509540164,304.0,dense_urban
10_61,10,61,16345.52366405263,0,,0.0,open_area
11_12,11,12,1234.5756760003137,0,,0.0,open_area
11_13,11,13,54794.163129307904,0,,0.0,open_area
11_14,11,14,62500.0,0,,0.0,open_area
11_15,11,15,62500.0,0,,0.0,open_area
11_16,11,16,62500.0,0,,0.0,open_area
11_17,11,17,62500.0,1,12.855162939805226,16.0,open_area
11_18,11,18,62500.0,27,22.146641301979017,432.0,dense_urban
11_19,11,19,62500.0,4,20.756588771984255,64.0,open_area
11_20,11,20,62500.0,0,,0.0,open_area
11_21,11,21,62500.0,12,35.89332667390421,192.0,normal_urban
11_22,11,22,62500.0,6,88.97990889543773,96.0,normal_urban
11_23,11,23,62500.0,13,59.7507124627627,208.0,dense_urban
11_24,11,24,62500.0,1,11.579926602694687,16.0,open_area
11_25,11,25,62500.0,1,11.850546973428555,16.0,open_area
11_26,11,26,62500.0,0,,0.0,open_area
11_27,11,27,62500.0,0,,0.0,open_area
11_28,11,28,62500.0,0,,0.0,open_area
11_29,11,29,62500.0,2,58.45769003362673,32.0,open_area
11_30,11,30,62500.0,8,87.34935676023544,128.0,normal_urban
11_31,11,31,62500.0,2,58.54489664961696,32.0,open_area
11_32,11,32,62500.0,8,14.922170568228054,128.0,normal_urban
11_33,11,33,62500.0,144,10.838395821460544,2304.0,dense_urban
11_34,11,34,62500.0,24,12.897535476610114,384.0,dense_urban
11_35,11,35,62500.0,11,19.522186224435618,176.0,normal_urban
11_36,11,36,62500.0,6,34.28188153646476,96.0,normal_urban
11_37,11,37,62500.0,12,18.46122022002587,192.0,normal_urban
11_38,11,38,62500.0,22,33.23874726412118,352.0,dense_urban
11_39,11,39,62500.0,13,21.023076923076925,208.0,dense_urban
11_40,11,40,62500.0,0,,0.0,open_area
11_41,11,41,62500.0,0,,0.0,open_area
11_42,11,42,62500.0,0,,0.0,open_area
11_43,11,43,62500.0,0,,0.0,open_area
11_44,11,44,62500.0,0,,0.0,open_area
11_45,11,45,62500.0,0,,0.0,open_area
11_46,11,46,62500.0,0,,0.0,open_area
11_47,11,47,62500.0,0,,0.0,open_area
11_48,11,48,62500.0,2,33.808231150508504,32.0,open_area
11_49,11,49,62500.0,8,25.798465388361027,128.0,normal_urban
11_50,11,50,62500.0,15,28.94965919776708,240.0,dense_urban
11_51,11,51,62500.0,10,13.768744045374177,160.0,normal_urban
11_52,11,52,62500.0,3,43.6,48.0,open_area
11_53,11,53,62500.0,5,23.38618836730811,80.0,normal_urban
11_54,11,54,62500.0,0,,0.0,open_area
11_55,11,55,62500.0,2,25.588328301880754,32.0,open_area
11_56,11,56,62500.0,23,42.7780859925185,368.0,dense_urban
11_57,11,57,62500.0,43,51.529250460608466,688.0,dense_urban
11_58,11,58,62500.0,32,55.43463541613018,512.0,dense_urban
11_59,11,59,62500.0,20,100.39,320.0,dense_urban
11_60,11,60,54872.36221453212,5,124.11999999999998,91.12055319309408,normal_urban
11_61,11,61,446.2026874552441,0,,0.0,open_area
12_12,12,12,23747.109044285025,0,,0.0,open_area
12_13,12,13,62500.0,0,,0.0,open_area
12_14,12,14,62500.0,1,32.8,16.0,open_area
12_15,12,15,62500.0,43,33.623270461910856,688.0,dense_urban
12_16,12,16,62500.0,8,24.86392778870394,128.0,normal_urban
12_17,12,17,62500.0,4,24.380999103871478,64.0,open_area
12_18,12,18,62500.0,19,22.211468526301836,304.0,dense_urban
12_19,12,19,62500.0,0,,0.0,open_area
12_20,12,20,62500.0,1,63.578725750024496,16.0,open_area
12_21,12,21,62500.0,11,50.78148099296868,176.0,normal_urban
12_22,12,22,62500.0,19,46.80836849232245,304.0,dense_urban
12_23,12,23,62500.0,19,25.977677521055835,304.0,dense_urban
12_24,12,24,62500.0,2,15.696718392255505,32.0,open_area
12_25,12,25,62500.0,0,,0.0,open_area
12_26,12,26,62500.0,0,,0.0,open_area
12_27,12,27,62500.0,0,,0.0,open_area
12_28,12,28,62500.0,0,,0.0,open_area
12_29,12,29,62500.0,3,55.74963558016062,48.0,open_area
12_30,12,30,62500.0,3,78.6553343635058,48.0,open_area
12_31,12,31,62500.0,2,53.59605945451927,32.0,open_area
12_32,12,32,62500.0,4,18.321617300080934,64.0,open_area
12_33,12,33,62500.0,112,13.662483527271883,1792.0,dense_urban
12_34,12,34,62500.0,67,12.643357671061697,1072.0,dense_urban
12_35,12,35,62500.0,15,22.043916197922442,240.0,dense_urban
12_36,12,36,62500.0,12,16.790828695783187,192.0,normal_urban
12_37,12,37,62500.0,14,17.201882295717144,224.0,dense_urban
